"TOA5","VST_Bruarjokull_B13","CR1000","58182","CR1000.Std.32.05","CPU:Bruarjokull_B13_2021.CR1","36387","MET"
"TIMESTAMP","RECORD","volt","f","f_v","d","dsdev","fsdev","t","t2","rh","ps","sw_in","sw_out","lw_in","lw_out","RS","RL","RN","HS","HS2"
"TS","RN","V","m/s","m/s","Deg","Deg","m/s","C","C","%","mBar","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","cm",""
"","","Smp:BattVolt","WVc:WSpeed","WVc:Wspeed_vector","WVc:WDir","WVc:WDir_StdDev","Std:WSpeed_StdDev","Smp:AT","Smp:AT_Backup","Smp:RH","Smp:BP","Avg:sw_in","Avg:sw_out","Avg:lw_in","Avg:lw_out","Avg:RS","Avg:RL","Avg:RN","Smp:HS","Smp:HS2"
"2021-05-02 11:40:00",0,13.03,2.614,2.552,8.91,12.52,0.545,-6.466,-8.32,79.97,879.5817,659.7548,483.965,247.3946,271.9728,175.7897,-24.57817,151.2115,96.5,0
"2021-05-02 11:50:00",1,13.02,2.272,2.173,11.75,16.94,0.584,-6.359,-7.999,79.45,879.5096,662.8574,496.4563,243.5221,267.3499,166.4011,-23.8278,142.5733,96.6,0
"2021-05-02 12:00:00",2,12.98,2.466,2.391,10.77,14.1,0.558,-6.715,-8.26,80.6,879.5322,589.5947,463.4496,247.6913,261.8342,126.1451,-14.14286,112.0023,96.5,0
"2021-05-02 12:10:00",3,12.98,2.45,2.315,5.297,18.99,0.789,-7.42,-8.8,79.32,879.5652,573.9529,468.7168,248.3485,259.2983,105.2361,-10.94987,94.28622,96.4,0
"2021-05-02 12:20:00",4,12.97,1.985,1.836,15.31,22.1,0.767,-6.404,-8.1,81.4,879.5757,558.9398,458.1254,249.739,260.3918,100.8145,-10.65285,90.16161,96.4,0
"2021-05-02 12:30:00",5,12.97,2.24,2.091,20.25,20.88,0.756,-6.624,-8.36,81.5,879.6002,586.9128,480.1166,252.2354,262.8413,106.7963,-10.60585,96.19041,95.8,0
"2021-05-02 12:40:00",6,12.97,2.577,2.444,22.3,18.42,0.768,-6.722,-8.32,76.52,879.5856,609.6298,497.8419,252.6838,265.1139,111.7879,-12.43015,99.35776,95.4,0
"2021-05-02 12:50:00",7,12.97,2.139,1.979,14.64,22.15,0.86,-5.435,-7.48,77.83,879.5881,591.1894,487.0719,257.2377,267.1709,104.1174,-9.933158,94.18427,95.3,0
"2021-05-02 13:00:00",8,12.97,2.296,2.168,16.9,19.13,0.716,-5.665,-7.613,75.63,879.6162,620.2807,504.1663,255.678,268.0779,116.1145,-12.39981,103.7146,95.7,0
"2021-05-02 13:10:00",9,13,2.172,1.99,8.2,23.42,0.795,-6.088,-8.06,76.54,879.6288,598.3734,487.2575,253.4915,265.6156,111.1158,-12.12412,98.99171,95.3,0
"2021-05-02 13:20:00",10,13.04,3.012,2.863,22.65,18.02,0.732,-6.451,-8.84,77.84,879.5558,648.8323,518.5285,249.8707,265.4723,130.3038,-15.60163,114.7022,95.1,0
"2021-05-02 13:30:00",11,13.04,3.105,3.067,35.06,9.02,0.44,-6.661,-8.89,79.13,879.5883,775.8423,621.1186,248.5661,270.1627,154.7238,-21.59658,133.1272,95.1,0
"2021-05-02 13:40:00",12,13.03,1.918,1.807,21.18,19.41,0.717,-4.297,-6.972,71.04,879.4642,735.4338,591.0955,252.6069,272.0198,144.3384,-19.41286,124.9255,95.5,0
"2021-05-02 13:50:00",13,13,2.158,2.008,9.98,21.3,0.725,-5.138,-7.411,71.81,879.375,663.4714,536.8434,251.9782,266.6464,126.628,-14.66817,111.9598,95.3,0
"2021-05-02 14:00:00",14,12.99,3.89,3.788,31,13.13,0.689,-7.118,-8.92,81.1,879.3602,621.7316,504.6039,248.134,263.0984,117.1277,-14.96441,102.1633,95,0
"2021-05-02 14:10:00",15,12.99,2.679,2.537,19.82,18.65,0.938,-5.37,-7.71,76.63,879.3885,621.5769,498.9669,254.5257,271.2978,122.61,-16.77208,105.8379,95.4,0
"2021-05-02 14:20:00",16,12.98,2.183,2.036,12.28,20.97,0.627,-5.283,-7.523,72.64,879.3035,647.1854,524.6274,255.3243,270.3516,122.558,-15.02729,107.5307,96.1,0
"2021-05-02 14:30:00",17,12.97,2.179,2.035,12.89,20.81,0.727,-5.127,-7.276,71.9,879.2454,614.7827,499.0503,252.2219,266.5092,115.7324,-14.28729,101.4451,96,0
"2021-05-02 14:40:00",18,12.96,2.77,2.626,20.15,18.47,0.815,-5.805,-7.915,76.37,879.2481,563.1134,458.2984,251.791,264.8353,104.815,-13.04428,91.77068,96.2,0
"2021-05-02 14:50:00",19,12.95,2.842,2.734,21.88,15.74,0.935,-6.059,-8.11,76.15,879.2009,566.0201,458.1702,254.8806,269.0325,107.8499,-14.15187,93.69806,96,0
"2021-05-02 15:00:00",20,12.95,2.845,2.702,19.84,18.17,0.83,-5.835,-7.754,76.34,879.1172,553.5696,452.0786,257.3654,270.3407,101.491,-12.97537,88.51566,96.3,0
"2021-05-02 15:10:00",21,12.94,2.411,2.198,7.425,24.08,0.807,-6.041,-7.774,75.93,878.9875,526.8559,431.3235,256.0874,267.9262,95.53234,-11.83877,83.69357,96,0
"2021-05-02 15:20:00",22,12.93,4.251,4.031,0.578,18.44,0.691,-7.41,-8.95,83.3,878.9025,496.6115,406.0971,253.5309,263.4858,90.51438,-9.954912,80.55946,95.6,0
"2021-05-02 15:30:00",23,12.94,4.067,3.862,1.121,18.17,0.827,-7.511,-9.07,84.2,878.8591,486.9419,398.1046,256.0583,265.7206,88.83729,-9.662297,79.175,95.9,0
"2021-05-02 15:40:00",24,12.93,4.522,4.286,1.848,18.48,0.779,-7.526,-9.02,85.1,878.9116,483.9078,395.6084,257.0914,266.6751,88.29939,-9.583714,78.71567,95.8,0
"2021-05-02 15:50:00",25,12.94,3.871,3.665,15.77,18.65,0.969,-7.049,-8.84,85.5,878.9059,433.4246,357.2681,261.4922,269.2171,76.15649,-7.724941,68.43154,95.6,0
"2021-05-02 16:00:00",26,12.94,4.143,3.86,20.73,21.16,1.101,-7.199,-8.86,86.6,878.8414,419.186,346.1216,265.6745,272.935,73.06441,-7.260488,65.80392,95.7,0
"2021-05-02 16:10:00",27,12.95,3.57,3.347,15.13,20.29,1.009,-6.917,-8.64,84.7,878.7883,426.5327,348.8528,265.4503,273.6787,77.67995,-8.22846,69.45148,96,0
"2021-05-02 16:20:00",28,12.95,3.147,2.898,13.52,22.76,0.966,-6.888,-8.6,82.2,878.8025,422.4173,343.6947,263.6339,273.2455,78.72256,-9.611555,69.11101,96,0
"2021-05-02 16:30:00",29,12.94,3.447,3.244,16.52,19.64,0.995,-6.897,-8.53,83.2,878.8195,407.0459,329.513,263.3785,272.6132,77.53291,-9.234657,68.29824,96.3,0
"2021-05-02 16:40:00",30,12.94,3.338,3.108,15.49,21.27,0.856,-6.923,-8.51,83,878.8401,385.1048,309.0523,262.0711,272.7563,76.0525,-10.68511,65.36739,96,0
"2021-05-02 16:50:00",31,12.94,3.088,2.816,10.63,24.01,0.831,-6.994,-8.48,82.8,878.8381,383.6485,306.7787,261.3123,272.9952,76.86979,-11.6829,65.18689,96.2,0
"2021-05-02 17:00:00",32,12.94,3.064,2.836,6.792,22.09,0.996,-6.942,-8.45,81.9,878.8257,382.3445,306.8755,259.8312,271.6218,75.46899,-11.79052,63.67848,96.4,0
"2021-05-02 17:10:00",33,12.93,3.588,3.265,4.539,24.32,0.967,-7.45,-8.81,84.4,878.7866,341.6859,275.4583,260.6473,270.466,66.22752,-9.818695,56.40882,96.8,0
"2021-05-02 17:20:00",34,12.92,3.234,2.933,8.08,24.7,0.805,-7.349,-8.68,84.9,878.7275,320.0143,256.2486,262.4536,271.2838,63.76572,-8.830236,54.93548,97.8,0
"2021-05-02 17:30:00",35,12.92,3.53,3.246,5.313,22.97,0.911,-7.448,-8.69,86.3,878.7206,318.6499,253.6088,262.2086,272.3589,65.04108,-10.15031,54.89077,97.6,0
"2021-05-02 17:40:00",36,12.91,4.944,4.738,2.085,16.53,0.911,-7.99,-9.13,86.1,878.6244,293.3558,236.1734,262.2045,271.5707,57.18244,-9.36626,47.81618,97.4,0
"2021-05-02 17:50:00",37,12.91,3.315,3.094,8.91,20.92,1.012,-7.374,-8.53,85.3,878.5816,284.0138,225.2027,263.051,274.2504,58.81104,-11.19934,47.61169,97.5,0
"2021-05-02 18:00:00",38,12.9,3.241,3.007,10.52,21.78,0.963,-7.348,-8.53,86.4,878.543,259.4178,207.3269,265.6489,274.7115,52.09095,-9.062555,43.02839,97.7,0
"2021-05-02 18:10:00",39,12.84,2.989,2.746,8.19,23.1,0.855,-7.288,-8.11,86.4,878.5311,241.8698,192.1504,263.4703,274.1433,49.71944,-10.67301,39.04643,97.6,0
"2021-05-02 18:20:00",40,12.81,3.065,2.855,6.94,21.21,0.91,-7.681,-8.37,87.2,878.5296,212.4616,170.2667,265.0609,273.7218,42.1949,-8.660883,33.53402,97.6,0
"2021-05-02 18:30:00",41,12.79,3.439,3.2,8.97,21.35,0.927,-7.772,-8.37,88,878.542,188.1765,152.0343,266.3983,273.6437,36.14217,-7.245376,28.8968,97.1,0
"2021-05-02 18:40:00",42,12.78,3.693,3.384,10.21,23.45,0.971,-7.817,-8.48,88,878.5157,181.3817,145.7336,266.0653,274.0753,35.64812,-8.010001,27.63812,96.9,0
"2021-05-02 18:50:00",43,12.76,3.451,3.188,9.37,22.38,0.905,-8.01,-8.55,88.3,878.5511,163.9468,131.8268,266.0001,274.4427,32.11997,-8.442647,23.67732,97.2,0
"2021-05-02 19:00:00",44,12.74,4.172,3.878,4.812,21.49,1.044,-8.22,-8.71,87.7,878.4996,151.1922,121.0521,265.1958,274.0924,30.14019,-8.896593,21.24359,96.7,0
"2021-05-02 19:10:00",45,12.78,4.455,4.23,1.03,18.19,1.122,-8.37,-9.12,88.5,878.4553,138.4878,110.9405,265.9934,274.7175,27.54723,-8.724094,18.82314,96.9,0
"2021-05-02 19:20:00",46,12.78,3.926,3.672,3.42,20.58,0.943,-8.27,-8.98,89.6,878.4174,120.1724,97.11761,268.974,275.7968,23.05483,-6.822769,16.23206,96.6,0
"2021-05-02 19:30:00",47,12.77,3.99,3.762,4.906,19.39,1.029,-8.31,-9.05,89.9,878.4188,102.999,83.45902,269.7648,275.9727,19.54002,-6.207937,13.33208,97.3,0
"2021-05-02 19:40:00",48,12.76,4.165,3.829,7.708,22.99,1.092,-8.4,-9.01,88.8,878.552,91.44001,73.82304,268.6477,275.945,17.61697,-7.297355,10.31962,96.8,0
"2021-05-02 19:50:00",49,12.75,3.657,3.411,8.18,20.99,0.775,-8.36,-8.97,89.2,878.5875,79.78882,64.36852,268.1891,276.0996,15.42031,-7.910504,7.509806,97.1,0
"2021-05-02 20:00:00",50,12.74,3.313,3.091,4.163,20.96,0.901,-8.39,-9.03,89.9,878.5785,69.43095,55.9767,268.9598,276.3334,13.45426,-7.373568,6.080696,97.2,0
"2021-05-02 20:10:00",51,12.73,3.219,2.991,9.6,21.54,0.808,-8.34,-8.97,90,878.5272,69.6954,55.63088,269.4565,277.1105,14.06451,-7.653965,6.410547,97.1,0
"2021-05-02 20:20:00",52,12.72,3.572,3.395,12.82,18.05,0.906,-8.52,-9.06,89.7,878.6022,61.22967,48.66701,267.87,276.907,12.56266,-9.036983,3.525681,97.2,0
"2021-05-02 20:30:00",53,12.7,3.62,3.35,6.564,22.12,0.811,-8.75,-9.25,89.6,878.6814,44.35615,35.65564,267.3992,275.9641,8.700512,-8.56491,0.1356025,97.2,0
"2021-05-02 20:40:00",54,12.69,3.714,3.4,3.189,23.55,0.872,-8.85,-9.38,89.4,878.6561,34.64959,28.01098,267.7451,275.5242,6.638608,-7.779146,-1.140538,97.3,0
"2021-05-02 20:50:00",55,12.68,3.988,3.821,0.182,16.6,0.789,-8.92,-9.44,89.5,878.5764,27.15619,21.93659,267.3072,275.6554,5.219596,-8.348193,-3.128597,97.2,0
"2021-05-02 21:00:00",56,12.66,4.366,4.204,359.7,15.61,0.586,-8.97,-9.5,89.5,878.5074,18.61555,15.26293,268.6649,276.076,3.352614,-7.411108,-4.058494,97.2,0
"2021-05-02 21:10:00",57,12.65,4.066,3.895,1.094,16.6,0.654,-8.96,-9.49,89.4,878.5751,13.52799,11.18635,270.3105,276.3099,2.34164,-5.999396,-3.657756,96.8,0
"2021-05-02 21:20:00",58,12.65,4.259,4.022,359.4,19.1,0.657,-8.96,-9.45,89.5,878.5706,9.157029,7.645993,271.2008,276.797,1.511037,-5.596177,-4.08514,97.1,0
"2021-05-02 21:30:00",59,12.64,4.377,4.138,358.3,18.91,0.645,-8.95,-9.44,89.6,878.5622,6.144722,5.16762,272.0748,276.8768,0.9771013,-4.80197,-3.824868,97,0
"2021-05-02 21:40:00",60,12.62,4.713,4.535,355.3,15.71,0.623,-8.97,-9.39,89.6,878.5168,4.332435,4.029715,272.2365,276.9419,0.3027195,-4.705395,-4.402675,97.8,0
"2021-05-02 21:50:00",61,12.62,4.049,3.938,354.9,13.36,0.452,-8.97,-9.4,89.6,878.4809,3.042075,2.689671,271.5872,276.4458,0.3524039,-4.858623,-4.506219,97.9,0
"2021-05-02 22:00:00",62,12.61,4.266,4.111,357.2,15.43,0.537,-8.94,-9.36,89.4,878.5524,1.739168,1.681034,273.0167,276.7106,0.05813358,-3.693913,-3.63578,97.6,0
"2021-05-02 22:10:00",63,12.61,4.218,4.117,354,12.54,0.424,-8.97,-9.37,89.5,878.4436,0.9338018,0.9035228,274.2067,276.9802,0.03027888,-2.773542,-2.743263,97.8,0
"2021-05-02 22:20:00",64,12.6,4.381,4.286,354.3,11.97,0.357,-8.91,-9.37,89.5,878.4538,0.7266995,0.7266995,274.8401,277.0565,0,-2.216434,-2.216434,97.9,0
"2021-05-02 22:30:00",65,12.6,4.591,4.444,354.1,14.5,0.492,-8.82,-9.3,89.6,878.3745,0.2531339,0.45661,274.9993,277.2194,-0.2034761,-2.220084,-2.42356,97.2,0
"2021-05-02 22:40:00",66,12.59,4.493,4.288,0.965,17.32,0.79,-8.74,-9.2,89.6,878.4123,0.04360202,0.6346517,275.6729,277.7549,-0.5910497,-2.082012,-2.673062,97,0
"2021-05-02 22:50:00",67,12.59,3.845,3.629,1.097,19.23,0.88,-8.66,-9.13,89.6,878.3988,0,0.1320172,276.0868,277.9544,-0.1320172,-1.867641,-1.999658,97.4,0
"2021-05-02 23:00:00",68,12.59,3.584,3.298,4.708,22.87,0.88,-8.73,-9.19,89.3,878.3758,0,0,275.4426,277.5912,0,-2.148618,-2.148618,96.3,0
"2021-05-02 23:10:00",69,12.58,4.266,3.987,2.102,20.72,1.131,-8.74,-9.2,89.4,878.1973,0,0,275.3452,277.2129,0,-1.867625,-1.867625,96.1,0
"2021-05-02 23:20:00",70,12.58,5.235,4.939,1,19.28,0.995,-8.72,-9.15,89.5,878.1067,0,0,275.4013,277.2071,0,-1.805857,-1.805857,98.7,0
"2021-05-02 23:30:00",71,12.57,4.342,3.921,6.733,25.21,1.092,-8.88,-9.31,89.2,878.2136,0,0,275.3429,276.892,0,-1.549084,-1.549084,97.2,0
"2021-05-02 23:40:00",72,12.57,3.695,3.411,8.23,22.46,0.892,-8.96,-9.36,89.2,878.2825,0,0,274.4553,276.3629,0,-1.907596,-1.907596,97,0
"2021-05-02 23:50:00",73,12.57,3.399,3.088,5.762,24.48,0.76,-9.03,-9.44,89.2,878.2663,-0.06176953,0,273.5603,276.0783,-0.06176953,-2.518025,-2.579794,96.5,0
"2021-05-03 00:00:00",74,12.56,3.581,3.335,7.366,21.24,0.866,-9.06,-9.5,89.2,878.2825,-0.4251197,0.04602436,272.019,275.3267,-0.4711441,-3.307696,-3.77884,97.1,0
"2021-05-03 00:10:00",75,12.51,3.907,3.602,3.375,22.64,0.929,-8.92,-9.1,89.7,878.2541,0,0.4566101,274.5954,276.3673,-0.4566101,-1.771954,-2.228564,97.4,0
"2021-05-03 00:20:00",76,12.5,4.51,4.103,4.561,24.33,0.96,-9.11,-9.25,89.3,878.1716,-0.1332284,0.1477624,273.9108,276.0255,-0.2809908,-2.114704,-2.395695,96.8,0
"2021-05-03 00:30:00",77,12.5,5.087,4.753,3.479,20.75,1.042,-9.3,-9.42,89.3,878.1135,-0.3173259,0,272.6731,274.9477,-0.3173259,-2.274575,-2.591901,97,0
"2021-05-03 00:40:00",78,12.49,5.138,4.844,359.9,19.4,1.206,-9.34,-9.48,89.3,878.0458,-0.2943137,0,271.7806,274.4875,-0.2943137,-2.70696,-3.001274,96.9,0
"2021-05-03 00:50:00",79,12.49,5.15,4.774,1.438,21.9,1.057,-9.33,-9.48,89.2,878.131,-0.02664568,0.1550294,272.7883,274.8546,-0.1816751,-2.066257,-2.247932,96.8,0
"2021-05-03 01:00:00",80,12.5,4.853,4.56,0.058,19.89,1.011,-9.37,-9.51,89.2,878.0905,-0.1550294,0,272.7623,274.636,-0.1550294,-1.873678,-2.028708,96.7,0
"2021-05-03 01:10:00",81,12.53,4.719,4.436,359.6,19.83,0.835,-9.34,-9.83,89,878.0919,-0.1441289,0.01332284,272.9849,274.4274,-0.1574518,-1.442509,-1.59996,96.7,0
"2021-05-03 01:20:00",82,12.53,4.634,4.329,359.2,20.76,1.009,-9.58,-10.1,88.8,878.0188,-0.4432873,0.03391268,271.2267,273.3233,-0.4771999,-2.096532,-2.573732,96.6,0
"2021-05-03 01:30:00",83,12.53,5.215,5.019,356.4,15.72,0.979,-9.64,-10.08,88.6,877.9701,-0.05813603,0.1901533,272.0078,273.856,-0.2482893,-1.848247,-2.096536,96.9,0
"2021-05-03 01:40:00",84,12.53,3.724,3.541,1.222,17.94,1.051,-9.38,-9.9,88.8,877.9323,-0.001211167,0.4820446,273.5612,274.5968,-0.4832558,-1.035568,-1.518824,97,0
"2021-05-03 01:50:00",85,12.52,3.767,3.545,13.47,19.68,1.086,-9.4,-9.9,88.8,877.8552,0,0.07630354,273.4624,274.4641,-0.07630354,-1.00165,-1.077953,96.9,0
"2021-05-03 02:00:00",86,12.52,3.673,3.467,14.78,19.16,0.892,-9.54,-10.03,88.7,877.8796,0,0,273.225,274.0607,0,-0.8357178,-0.8357178,97,0
"2021-05-03 02:10:00",87,12.51,3.493,3.298,13.31,19.15,1.025,-9.6,-10.08,88.7,877.9066,0,0,272.9447,273.6824,0,-0.7376153,-0.7376153,97.1,0
"2021-05-03 02:20:00",88,12.51,3.555,3.338,11.03,20.04,0.974,-9.66,-10.16,88.7,877.8984,-0.002422335,0,272.6096,273.3641,-0.002422335,-0.7545713,-0.7569937,97.1,0
"2021-05-03 02:30:00",89,12.51,3.59,3.31,5.47,22.63,0.994,-9.82,-10.28,88.5,877.9066,-0.1877309,0,271.9821,272.9814,-0.1877309,-0.9992218,-1.186953,96.9,0
"2021-05-03 02:40:00",90,12.51,4.363,4.039,1.589,22.07,0.91,-9.91,-10.39,88.4,877.7538,-0.0557137,0,271.5293,272.5757,-0.0557137,-1.046456,-1.10217,96.9,0
"2021-05-03 02:50:00",91,12.51,3.775,3.485,2.121,22.46,1.052,-10,-10.47,88.4,877.7795,-0.3367045,0,270.9552,272.0077,-0.3367045,-1.052512,-1.389216,96.9,0
"2021-05-03 03:00:00",92,12.51,2.854,2.632,5.944,22.63,0.748,-10.1,-10.58,88.3,877.7849,-0.003633502,0,271.0753,271.8141,-0.003633502,-0.7388265,-0.74246,96.9,0
"2021-05-03 03:10:00",93,12.5,3.604,3.335,4.769,22.14,0.917,-10,-10.52,88.5,877.674,-0.04117969,0.02543451,270.8868,271.7419,-0.0666142,-0.8550958,-0.92171,96.8,0
"2021-05-03 03:20:00",94,12.5,3.754,3.443,2.581,23.32,0.961,-10.14,-10.6,88.2,877.6537,-0.001211191,0.008478262,271.063,271.8018,-0.009689453,-0.738827,-0.7485164,96.7,0
"2021-05-03 03:30:00",95,12.5,3.392,3.109,4.434,23.4,1.02,-10.11,-10.6,88.4,877.5766,0,0,270.7476,271.4743,0,-0.726732,-0.726732,96.5,0
"2021-05-03 03:40:00",96,12.5,3.495,3.18,3.169,24.32,0.947,-10.09,-10.6,88.4,877.5604,0,0.2458768,270.851,271.5777,-0.2458768,-0.7267362,-0.972613,96.3,0
"2021-05-03 03:50:00",97,12.49,3.827,3.591,2.604,20.09,0.854,-10.27,-10.73,88.2,877.5448,0,0.2991817,270.2334,271.0256,-0.2991817,-0.7921621,-1.091344,96.7,0
"2021-05-03 04:00:00",98,12.49,3.815,3.597,0.3,19.37,0.727,-10.21,-10.72,88.3,877.5193,0.3742959,0.5414557,269.9716,270.6656,-0.1671597,-0.6940712,-0.8612309,96.3,0
"2021-05-03 04:10:00",99,12.49,5.173,4.966,359.2,16.2,0.892,-10.27,-10.72,88.1,877.3986,1.336086,1.396652,270.8247,271.5151,-0.06056587,-0.6904482,-0.7510141,95.8,0
"2021-05-03 04:20:00",100,12.49,5.567,5.307,357.2,17.51,1.017,-10.39,-10.85,88,877.3986,2.111364,1.997498,270.015,270.7358,0.1138661,-0.7207499,-0.6068838,96.3,0
