ID;Station name;Northing;Easting;Elevation (m asl)
1;KPC_L;79.9108;-24.0832;370
2;KPC_U;79.8345;-25.1665;870
3;SCO_L;72.224;-26.818;470
4;SCO_U;72.3937;-27.2383;980
5;MIT;65.6923;-37.8277;450
6;TAS_L;65.6403;-38.8987;260
7;TAS_U;65.6978;-38.8668;570
8;TAS_A;65.7797;-38.9008;890
9;QAS_L;61.0308;-46.8488;280
10;QAS_U;61.1758;-46.819;900
11;QAS_A;61.243;-46.7328;1000
12;NUK_L;64.4822;-49.5325;540
13;NUK_U;64.511;-49.2663;1130
14;NUK_K;64.1623;-51.3587;710
15;NUK_N;64.9452;-49.885;920
16;KAN_B;67.1252;-50.1832;350
17;KAN_L;67.0957;-49.9485;680
18;KAN_M;67.0667;-48.8327;1270
19;KAN_U;67.0003;-47.0243;1840
20;UPE_L;72.8932;-54.2953;220
21;UPE_U;72.8883;-53.5715;940
22;THU_L;76.3998;-68.2662;570
23;THU_U;76.4197;-68.146;770
24;SwissCamp;69.56833;-49.31582;1149
25;CP1;69.87975;-46.98667;2022
26;NASA-U;73.84189;-49.49831;2369
27;GITS;77.13781;-61.04113;1887
28;Humboldt;78.5266;-56.8305;1995
29;Summit;72.57972;-38.50454;3254
30;TUNU-N;78.01677;-33.99387;2113
31;DYE-2;66.48001;-46.27889;2165
32;JAR;69.498358;-49.68156;962
33;Saddle;65.99947;-44.50016;2559
34;SouthDome;63.14889;-44.81717;2922
35;NASA-E;75;-29.99972;2631
36;CP2;69.87968;-46.98692;1990
37;NGRIP;75.09975;-42.33256;2950
38;NASA-SE;66.4797;-42.5002;2425
39;KAR;69.69942;-33.00058;2579
40;JAR2;69.42;-50.0575;568
41;KULU;65.75845;-39.60177;878
42;FA-1;66.18;-39.04;1600
43;FA-2;66.3618;-39.3086;1670
44;EKT;66.98543;-44.39395;2400
