station,no_years,lat_ave,lon_ave,ele_ave,station_cat
B10,23,64.7260237322727,-16.1012921095455,817.767450245454,B10
B13,28,64.5672880266667,-16.3288806844444,1210.27993211111,B13
B16,25,64.3976204716667,-16.6910837383333,1527.13583333333,B16
Br01,22,64.10878780375,-16.3244103875,200.65375,Br01
Br04,8,64.1812294,-16.3414237542857,526.373857142857,Br04
Br07,4,64.3690338,-16.2824353833333,1248.344003,Br07
E01,2,64.67715,-15.58106,764.33662685,E01
E03,2,64.611,-15.615205,1190.146148,E03
Gaes,4,64.46915,-15.6006,925,Gaes
Gf,22,64.406629,-17.265211,1725,Gf
HNA09,3,64.77007,-18.543,849.1,HNA09
HNA13,2,64.78998,-18.64805,1237.1,HNA13
Hoff,14,64.5362271521428,-15.5949466057143,1132.49464285714,Hoff
Hosp,10,64.430104832,-15.47723564,96.117,Hosp
Kokv,5,64.58874567,-17.861888,1095,Kokv
L01,15,64.5068069333333,-20.4559361333333,536.530666666667,L01
L05,18,64.5943447222222,-20.3757941666667,1102.71111111111,L05
MyrA,4,63.61177615,-20.22575046,1350.6,MyrA
Skal,3,64.25905533,-15.87645983,894,Skal
Ske02,1,64.30265,-17.15308,1207.74,Ske02
T01,8,64.3270418142857,-18.1133425342857,817.946324657143,T01
T03,25,64.3375443066667,-17.9707039770833,1090.20771616667,T03
T06,25,64.4043799145833,-17.6091390466667,1460.31051583333,T06
k06,16,64.63926980375,-17.522851161875,1964.627387125,k06
