year,lat,lon,elevation,site_name
1996,64.68299,-15.88314,835.4,B10
2001,64.72803,-16.11161,863,B10
2002,64.72801,-16.11174,860.6,B10
2003,64.72803,-16.11174,854.6,B10
2004,64.72802,-16.1117,850.25,B10
2005,64.72801,-16.11173,844.7,B10
2006,64.72802,-16.1117,840.56,B10
2007,64.72805,-16.11169,834.28,B10
2008,64.72806,-16.11166,830.99,B10
2009,64.72807,-16.11169,826.03,B10
2010,64.72807,-16.11168,821.74,B10
2011,64.72808,-16.11169,811.48,B10
2012,64.72808,-16.11168,811.7,B10
2013,64.72811,-16.11168,807.58,B10
2014,64.72812,-16.11165,803.9,B10
2015,64.72812,-16.11163,799.4,B10
2016,64.72812,-16.11163,796.12,B10
2017,64.72814,-16.11171,789.84,B10
1994,64.57369,-16.32612,1203.7,B13
1995,64.57492,-16.32899,1214.1,B13
1997,64.357532,-16.3286,1209.9,B13
1998,64.57555,-16.332806,1205.9,B13
1999,64.57537,-16.32741,1208.1,B13
2000,64.57466,-16.32916,1212.8,B13
2001,64.5748,-16.32914,1212.1,B13
2002,64.57506,-16.32927,1214.7,B13
2003,64.57504,-16.32955,1214.4,B13
2004,64.57542,-16.32917,1211.03,B13
2005,64.57557,-16.32923,1212.22,B13
2006,64.57555,-16.32917,1211.82,B13
2007,64.57545,-16.32953,1212.53,B13
2008,64.57546,-16.3295,1213.65,B13
2009,64.57542,-16.32945,1214.01,B13
2010,64.57528,-16.32978,1214.91,B13
2011,64.5751,-16.32935,1112.31,B13
2012,64.57537,-16.32934,1214.56,B13
2013,64.57516,-16.32919,1215.29,B13
2014,64.5753,-16.32887,1215.53,B13
2015,64.57557,-16.32857,1216.48,B13
2016,64.57544,-16.32842,1218.2,B13
2017,64.57544,-16.32834,1218.44,B13
1996,64.39283,-16.7005,1530,B16
2001,64.39292,-16.70108,1525.4,B16
2002,64.39291,-16.70094,1526.7,B16
2003,64.39319,-16.70072,1528.5,B16
1998, 64.33633,-17.9769, 1105, T03
2004,64.39322,-16.70082,1527.51,B16
2005,64.3932,-16.70107,1526.37,B16
2006,64.39327,-16.70124,1526.05,B16
2007,64.39327,-16.70089,1526.35,B16
2008,64.39345,-16.70109,1526.07,B16
2009,64.39349,-16.70114,1525.76,B16
2010,64.39354,-16.70132,1525.34,B16
2011,64.39282,-16.70094,1520.57,B16
2012,64.39282,-16.70109,1523.9,B16
2013,64.4019,-16.68087,1525.34,B16
2014,64.40209,-16.68089,1526.15,B16
2015,64.40204,-16.68084,1527.83,B16
2016,64.40198,-16.68079,1528.72,B16
2017,64.4021,-16.68077,1529.31,B16
